TTLL11	FUT1
EFR3B	PI4KB
GMEB2	CREBBP
BANK1	ZNF518B
C16orf13	TICRR
C16orf13	NDUFS7
HEG1	RAP2A
PID1	PRNP
PID1	LPL
PID1	FAM13A
FAR1	ACAD9
FAR1	FARSA
C10orf88	ADAM12
C10orf88	RAB11FIP2
SIX5	ZBTB33
SIX5	INHBB
VPS9D1	SPATA2L
RAPH1	RIN3
RAPH1	NTN1
CA14	VPREB3
CA14	CACNG8
CA14	PLLP
CA14	OMG
CA14	SLC9A1
RERE	MBD2
RERE	CHD5
RERE	SLC45A1
EVX1	FAM110D
EVX1	TLE1
EVX1	OSR2
EVX1	ISM1
EVX1	RAB2A
EVX1	BCL6
EVX1	GRIN1
EVX1	GATA2
EVX1	RERE
FAM179B	AURKC
FAM179B	RRP36
RAB11FIP2	RAB5A
RAB11FIP2	ARF5
AMZ1	FASTKD3
AMZ1	CDADC1
CCDC71	AMZ1
CORO2B	ZNF775
CORO2B	SYCE1L
CORO2B	DKK3
CORO2B	ZNF689
CORO2B	ARPC2
CORO2B	CDH24
CORO2B	PALLD
CORO2B	PCCB
SNCG	AHCYL1
SNCG	HN1L
SNCG	IGF1R
SNCG	RBPMS
SNCG	MKL2
SNCG	SSSCA1
ZNF500	CAMK1G
FAM189A1	CSNK1G2
FAM19A1	SLC16A7
FAM19A1	GNA13
FAM19A1	FAM189A1
NHLH2	TCF3
NHLH2	LEP
SLC35E2B	SMIM14
SLC35E2B	HSPA12A
SLC35E2B	SYCE1L
SLC35E2B	SLC35C1
GDF9	WNT5A
GDF9	TRIM27
GDF9	PBX2
GDF9	VCAN
GDF9	RSPO2
RGS4	PLBD1
RGS4	GNAS
RGS4	BCL6
RGS4	ZDHHC3
RGS4	DRD2
GON4L	NCF1
GON4L	KLHDC10
GON4L	RNF11
GON4L	ACAD9
HPCAL4	SYN1
HPCAL4	FAM178A
HPCAL4	KCND3
HPCAL4	KCNQ2
HPCAL4	PI4KB
HPCAL4	RRP7A
HPCAL4	CACNG8
HPCAL4	CACNA1A
HPCAL4	GRIN1
HPCAL4	RSBN1
RNF10	BCL2L14
RNF10	CNPY2
RNF10	RINT1
CYP39A1	MSMO1
PPP1R3E	CAND2
PPP1R3E	PNO1
PPP1R3E	PHKA2
SPG21	CD4
MARCH1	LAPTM4B
MARCH1	BANK1
MARCH1	UBA1
MARCH1	INSR
TMEM189	TCEA2
TMEM189	UBE2K
TMEM189	RNF114
FAIM2	CDK5R2
FAIM2	GBA
FAIM2	MSRA
FAIM2	ZC3H4
FAIM2	SYN1
FAIM2	PCSK1
FAIM2	GRIA4
FAIM2	PTPRN
FAIM2	GPRC5B
CD248	THY1
PARD6G	CLDN1
VGLL3	MRGPRF
VGLL3	FGF13
VGLL3	ATOH8
VGLL3	ZNF654
VGLL3	LBH
VGLL3	ENTPD4
VGLL3	SYT17
MOBP	OMG
MOBP	PLLP
MOBP	STX6
ATAD3C	SYNCRIP
PLEKHO2	CYTH4
PHLDA2	UBE3A
PHLDA2	MEST
PHLDA2	ZIC1
SNTB2	PTPRN
MAST2	FUS
MAST2	SNTB2
LAPTM4B	GTPBP4
LAPTM4B	CNPY2
LAPTM4B	MATN3
LAPTM4B	YWHAZ
LXN	CUX2
LXN	DAB2IP
AJAP1	CAMTA1
DENND4B	AVL9
DENND4B	SEC16A
NMT2	DOK4
NMT2	ARFGEF1
PAICS	RPS6
PAICS	FARSA
PAICS	ENTPD4
PAICS	TFPI
PAICS	CDK5RAP1
PAICS	UGP2
PAICS	PRDX2
